title,overview,release_date,rating,vote_count,review
It's a Wonderful Life,"A holiday favourite for generations...  George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",1946-12-20,8.272,4581,"It's practically an American tradition to watch this film with family at Christmas time each year.  I just saw it for the first time myself a couple weeks before last Christmas, and I loved it.  It's an uplifting, inspiring, dramatic, and at times laugh-out-loud funny story, with a cast that probabl"
Apocalypse Now,"At the height of the Vietnam war, Captain Benjamin Willard is sent on a dangerous mission that, officially, ""does not exist, nor will it ever exist."" His goal is to locate - and eliminate - a mysterious Green Beret Colonel named Walter Kurtz, who has been leading his personal army on illegal guerrilla missions into enemy territory.",1979-05-19,8.271,8636,"**Ponderous, meandering epic with a few bright spots.**

This film is about a soldiers quest to find a renegade and insane Colonel (a bald Brando in an extended cameo)  who has hidden himself away in the depths of the jungle and is causing all manner of commotion.  Quite what it was - I can't reme"
City Lights,A tramp falls in love with a beautiful blind flower girl. His on-and-off friendship with a wealthy man allows him to be the girl's benefactor and suitor.,1931-02-06,8.265,2315,"Virginia Cherrill charmingly plays a young, blind, flower seller whom the tramp (Charlie Chaplin) falls for, hook line and sinker. Later that night, he is crossing a bridge when he encounters a suicidal, dipso, millionaire (Harry Myers) whom he convinces to hang about for a while longer, and who by "
Paths of Glory,A commanding officer defends three scapegoats on trial for a failed offensive that occurred within the French Army in 1916.,1957-10-25,8.3,3088,"Madness and Patsies Crash Together In Kubrick's Explosive Thunderbolt.

Stanley Kubrick's Paths of Glory is holding up rather well these days, in fact it's as pertinent and relevant as ever.

It's 1916 and the French and German armies are in opposing mud trenches, when the French are ordered to "
The Lion King,"Young lion prince Simba, eager to one day become king of the Pride Lands, grows up under the watchful eye of his father Mufasa; all the while his villainous uncle Scar conspires to take the throne for himself. Amid betrayal and tragedy, Simba must confront his past and find his rightful place in the Circle of Life.",1994-06-15,8.256,19005,"If you enjoy reading my reviews, please follow my blog :)

First of all, this is (obviously) a SPOILER review. I mean, who hasn’t seen this movie yet? If by some extraordinary circumstances you’re one of those unlucky souls, stop. Spend the next hour and a half watching this animated masterpiece a"
Miracle in Cell No. 7,"Separated from his daughter, a father with an intellectual disability must prove his innocence when he is jailed for the death of a commander's child.",2019-10-10,8.255,4488,No reviews
Rascal Does Not Dream of a Dreaming Girl,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",2019-06-15,8.254,552,No reviews
Oldboy,"With no clue how he came to be imprisoned, drugged and tortured for 15 years, a desperate man seeks revenge on his captors.",2003-11-21,8.252,9215,"I’m sure that all of you can always spot a film with good acting, superb plot and great cinematography easily but when it comes to a thriller that possesses all those above quality, it would be such a rarity. OldBoy here, second installment from The Vengeance Trilogy directed by  Park Chan-wook (Sym"
Clouds,"Young musician Zach Sobiech discovers his cancer has spread, leaving him just a few months to live. With limited time, he follows his dream and makes an album, unaware that it will soon be a viral music phenomenon.",2020-10-09,8.2,1031,No reviews
The Legend of 1900,"The story of a virtuoso piano player who lives his entire life aboard an ocean liner. Born and raised on the ship, 1900 learned about the outside world through interactions with passengers, never setting foot on land, even for the love of his life. Years later, the ship may be destroyed, and a former band member fears that 1900 may still be aboard, willing to go down with the ship.",1998-10-28,8.249,2347,No reviews
Le Trou,"Four prison inmates have been hatching a plan to literally dig out of jail when another prisoner, Claude Gaspard, is moved into their cell. They take a risk and share their plan with the newcomer. Over the course of three days, the prisoners and friends break through the concrete floor using a bed post and begin to make their way through the sewer system -- yet their escape is anything but assured.",1960-03-18,8.246,518,"The 1947 Escape Attempt At La Sante Prison.

Le Trou (The Hole) is directed by Jacques Becker and adapted to screenplay by Becker, Jose Giovani and Jean Aurel from Giovani’s own novel. It stars Michel Constantin, Jean Keraudy, Philippe Leroy, Raymond Meunier, Marc Michel and Jean-Paul Coquelin. 
"
Life in a Year,"A 17 year old finds out that his girlfriend is dying, so he sets out to give her an entire life, in the last year she has left.",2020-11-27,8.2,1929,"Jaden Smith is still not much of an actor, but it's ""Love Story"" for teens."
I Want to Eat Your Pancreas,"After his classmate and crush is diagnosed with a pancreatic disease, an average high schooler sets out to make the most of her final days.",2018-09-01,8.242,1660,No reviews
Taylor Swift: Reputation Stadium Tour,"Taylor Swift takes the stage in Dallas for the Reputation Stadium Tour and celebrates a monumental night of music, memories and visual magic.",2018-12-31,8.2,410,No reviews
Avengers: Endgame,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",2019-04-24,8.237,26705,"The epic Marvel Saga that started over ten years ago has been building up to the inevitable clash with the powerful tyrant Thanos (Josh Brolin).  Last year’s “Avengers: Infinity War” set the stage for the highly-anticipated conclusion; “Avengers: End Game” and at long last it has arrived.

Picking"
